"","par1","par2","par3","par4","log.lik","rec1","rec2","rec3","rec4","rec5","rec6","rec7","rec8","rec9","rec10","rec11","rec12","rec13","rec14","rec15","rec16","rec17","rec18","rec19","Biomass1","Biomass2","Biomass3","Biomass4","Biomass5","Biomass6","Biomass7","Biomass8","Biomass9","Biomass10","Biomass11","Biomass12","Biomass13","Biomass14"
"4401",1.84228336556594,0.61151558585976,0.0953263438558597,0.0407458394904378,4422.23080138779,0,0,0,47975.0611158219,872144.032459935,1846263.95857507,1365851.8193766,1273783.63104482,2128296.75965541,4069076.73589714,2897141.6044725,2736112.15207797,2141046.52447301,2585993.12973842,3538770.3286892,2740131.28178625,1190695.98865622,1671247.23009382,3017979.87768907,99.6285112267237,68.7936160761639,100.280687016849,65.9126826654402,104.602189789149,323.420536502269,178.186515098811,161.295196372079,109.27450838,220.280300229464,175.407188088828,158.68732713917,144.023879624129,158.329687857826
"4402",1.77583534444002,0.602775219293484,0.0892899578845629,0.0296145122835405,4420.14503223276,0,0,0,48277.1770698023,877596.06928197,1862206.0619665,1380019.53472076,1289140.71771251,2157012.0031634,4142527.88103214,2941314.27414984,2786728.27829319,2181588.00521946,2636879.94312065,3616770.31844361,2814684.08177324,1227846.75583272,1753311.87487407,4286136.59306054,108.516460145737,74.5043552156427,109.681114498289,71.1108142791442,114.049459747328,347.078669383256,212.006062858539,195.757630510397,118.809829553182,273.791535989419,204.105657511383,183.090592605681,161.855570304719,199.220173106338
"4403",1.67254334581132,0.606583882605454,0.0977677450870207,0.031975763051693,4419.04271022521,0,0,0,49200.0382951064,894305.604737062,1890881.90341886,1403864.86912972,1315893.07858026,2212332.33997782,4265108.65307041,3046032.88296276,2909959.82216409,2280100.80293606,2759088.19469843,3791538.5730519,2958458.11239451,1294396.28664556,1851545.75994303,4222185.83444256,107.715712956376,74.5450688172036,108.242658125578,71.5305218315453,113.04778003204,351.71095824162,217.306321610875,199.688523677696,124.58407212165,277.708024349606,210.35791300055,189.098183725275,168.280316620172,201.488202940261
"4409",1.6364199850317,0.587513764209816,0.0938148908884177,0.037321839874705,4422.25877831561,0,0,0,49068.3460622601,891859.600200627,1868777.49329826,1388426.42967131,1301556.305949,2188525.52546625,4222373.09193059,3002309.81275872,2831736.95509307,2219050.13634157,2686919.36889412,3699102.26519292,2888943.24500228,1269879.49207125,1818359.62142293,3667012.87067342,113.496361361445,78.2591101570707,114.356805992643,74.9110619057957,119.192253965643,367.095866447034,207.794424753252,189.115851897504,124.463983807254,259.982242095104,203.33657044398,183.541363258284,165.437940360515,187.509281684104
"4410",1.72305984694817,0.559437971579586,0.0966691087352902,0.0326732499919457,4421.32991204232,0,0,0,47716.2678908863,867325.659178355,1768413.32595733,1309549.96244104,1221273.83915748,2043407.03372226,3902586.98884336,2758438.06825597,2608117.292475,2041674.16594615,2470292.25766737,3401232.42455813,2655162.89135668,1169551.27184652,1687455.46494137,3927034.5343348,105.429412585854,72.8894399046151,106.023360327885,69.8948879709124,110.668202783453,343.351777467926,208.910142441053,191.713767999995,120.525287640108,266.189719951998,202.539658199257,182.176924554305,162.418626682251,192.972955701579
"4411",1.64527689608314,0.667700802683083,0.0878451913618306,0.0346586384968557,4421.67489805899,0,0,0,50878.3734483099,924852.991097289,2075559.24951377,1546106.47660012,1457190.19696547,2458591.5724825,4801722.79500678,3456008.66603285,3286891.67118195,2577633.05591909,3118369.04127393,4271534.37321848,3325069.09896258,1441077.30877633,2027466.29098577,4070226.26403501,118.574170918366,81.295845422819,119.968069923045,77.5195325344337,124.650859410034,377.860252854286,213.216738464813,194.94584399531,125.106018377987,269.487884557889,207.574274441689,187.001632769563,167.544757499803,194.923160927236
"4414",1.93767813326853,0.583062500226206,0.102334261567533,0.0348494762148801,4422.65463559701,0,0,0,46758.1854756095,850045.806273334,1742574.60976362,1284859.38998711,1192234.42407101,1983240.50604257,3749247.48522211,2657348.97110888,2531242.62397527,1978577.909202,2387736.43627891,3267170.08250681,2528594.97144268,1100508.08842464,1557734.63951865,3310993.95863181,89.9332788454492,62.4948976333262,90.1002391580723,60.1316038179198,94.3156180546977,296.769593321652,180.615506109713,165.081729921384,106.141664154071,228.110795578019,175.903259687541,158.492690834923,142.066456180868,164.959826470652
"4417",1.71666824989077,0.624396684512991,0.101162645262576,0.0299251276586284,4420.10468431951,0,0,0,49230.6546172611,894910.083745764,1907445.47017949,1414928.89592634,1325723.47155399,2227811.17814625,4289220.3459193,3074982.1779474,2964835.85164681,2322689.17809691,2808742.49801029,3852231.95138664,3000663.63234106,1306763.01522399,1861013.18610375,4430355.23442748,102.363435816082,71.0585094712622,102.632463540881,68.3241303471998,107.371583947596,336.884503712861,218.245917677446,201.387353072827,122.69068669,281.448843011334,210.270407753933,188.67526283107,166.945074802226,204.712225394677
"4419",1.73492472833653,0.578139703128185,0.0965038798379,0.0359242198781693,4419.21524260258,0,0,0,48045.2745531404,873333.438924169,1805989.2769944,1337804.66251187,1248843.14774794,2090891.16632517,4001772.21127225,2837943.35180379,2682970.57098789,2100485.15500893,2540640.18213796,3492339.21431128,2720612.75511228,1193661.50912865,1707202.21816185,3578428.23126313,104.840304476906,72.4711423366626,105.442667043103,69.4867214906126,110.05280798304,341.299066124364,199.136925509127,181.666339896234,118.02719495518,250.457105722396,194.351876779071,175.256150672788,157.483957228799,180.907321356894
"4424",1.89565741441596,0.559625359497425,0.0991889771712113,0.0369198434245238,4419.08553695335,0,0,0,46542.872625555,846100.97905947,1712225.10161718,1262922.33904817,1171363.52658564,1947902.95921561,3681728.06697224,2596630.44338895,2450317.3250544,1915382.80622631,2312901.63776759,3171704.32442343,2459381.3998834,1076345.13699114,1532502.45006326,3161317.92239662,94.0389005686808,65.164077499053,94.4093381169292,62.5827028383085,98.6711451595925,308.078240910142,180.182278204871,164.095833817962,107.604483542066,225.769974309515,176.185410731217,158.988546134265,143.182387723473,162.902696719967
"4427",1.72104881686826,0.64927760423528,0.0890750371731406,0.0278883612076658,4421.14699197768,0,0,0,49754.0711558768,904447.705564619,1993096.66152992,1480947.85325684,1390379.79560635,2337065.02564411,4531254.29614293,3247743.09572689,3107080.39204417,2434688.45855661,2943392.65368514,4031012.43073588,3138006.9012787,1360602.87987243,1929964.53866017,4794041.72632413,112.173760765649,76.9993879883096,113.394678922866,73.4819042993545,117.897566890258,358.581651808439,225.102452590706,208.634828105067,123.865194913243,293.090005680035,215.777673960408,193.235768274164,169.916751920774,213.736265195967
"4429",1.79621545021321,0.55604059020531,0.090483198552184,0.0331743878242635,4421.60585443588,0,0,0,47115.4609809738,856453.032042952,1749321.8096242,1293725.79804591,1203581.93573239,2006971.25841939,3821969.54628722,2690182.23603171,2523830.92187314,1974379.61493908,2386884.18363246,3281583.57232813,2555550.10695915,1123321.62627243,1615216.66961155,3705082.87733395,106.222800519712,73.0132110219201,107.273749507888,69.7415207712729,111.616179522549,340.761289017209,199.056325494665,182.49714569207,115.346701810519,253.105355396572,193.193894373229,173.842315897392,155.187163764771,183.381038930714
"4430",1.97605897605839,0.573055595959666,0.0941903481045208,0.0345620766087895,4420.77883955048,0,0,0,46330.3057157136,842276.10609972,1727414.06105498,1273164.43535885,1179563.75853059,1957314.19660005,3696452.31270094,2605614.89452678,2456137.95546427,1919057.83553525,2315112.05559325,3167160.32988606,2449378.85113757,1066444.91692412,1510813.10959703,3259048.76439537,93.7111233703324,64.6392897367705,94.3973982925831,61.8884896612743,98.4079284895001,303.378324238199,177.738583564237,162.536154622849,104.206687810589,224.732500750681,173.001239542358,155.843534576866,139.596341763499,162.568619760278
"4432",1.68450916858151,0.641362919783654,0.100832590008402,0.0317604786318555,4420.49522956257,0,0,0,49897.1267764399,907018.895991417,1960756.32982939,1456324.92678491,1367578.60471114,2303074.71874047,4452589.79011193,3203802.72624108,3092074.92296534,2423436.38960783,2931197.74055552,4018524.07966885,3129811.86130233,1360571.02101256,1928864.90517708,4286869.71702839,104.565855476115,72.5659601019603,104.863495030169,69.7599079632301,109.687565740485,343.871837870018,216.420475947919,198.958710942246,123.83104048798,276.832004842013,209.399883087568,188.202273296177,167.386376359197,200.904017938286
"4433",1.56860328158082,0.64013611116672,0.106335789028831,0.0376321566291376,4422.32675905785,0,0,0,50987.8948071243,926751.458211444,1996832.52829651,1486815.23567144,1401572.32928279,2372050.32968696,4609225.42658811,3330011.21851791,3214953.20382495,2522129.1588075,3054628.54270934,4197264.64600329,3276602.76439807,1430401.71069769,2027326.82979444,3884252.53208013,108.064514153233,75.3579849536554,107.984247934828,72.6762657668911,113.258883102513,359.812311650615,216.041932247674,196.52124355857,129.697353443927,269.994791201607,211.527387299514,190.975859414744,172.253068889537,194.667908206012
"4437",1.85088053391198,0.538927759798947,0.102898008270018,0.0325700066466076,4419.88021975396,0,0,0,46392.9550728493,843338.477477087,1675951.95366621,1236139.14813464,1146110.46627072,1906766.83158126,3597735.0006393,2532221.18152423,2399634.93418207,1875974.93993108,2266820.48169198,3116245.45628416,2424708.71946043,1067055.52132164,1537666.33506924,3634154.17003208,93.776983571435,65.1984285862581,93.9164221989924,62.7536277412365,98.3378018056839,309.84966067786,194.75691661466,178.760978112582,112.256842840973,248.263608930785,188.775748772493,169.782224868606,151.327648378383,179.999189668365
"4441",2.00961785018503,0.559966659125106,0.100500299539309,0.0313893610533584,4422.44871694874,0,0,0,45885.8883403026,834202.080827842,1680893.38673515,1237031.6960215,1143738.27170204,1895127.54503988,3559332.04354332,2506736.08480356,2380268.53808642,1858977.58658183,2241982.6592429,3067678.0593484,2372838.9461575,1034313.86400085,1472412.1722248,3506799.68904792,87.8604007653476,60.9546588435706,88.1298310745931,58.5860199359384,92.1687882205785,288.713672456067,182.376983214365,167.78558199659,103.99232225987,233.661379466799,176.313251041051,158.414059103365,140.750910377001,169.64936059122
"4443",1.81308125900692,0.579115658361538,0.0932229159602769,0.040912219922354,4420.1056259608,0,0,0,47494.2096439475,863366.257824205,1788972.65124956,1323242.63985286,1232373.61259984,2056963.56232236,3923800.10413979,2775917.96743364,2602115.60387658,2035879.79387732,2460325.86845343,3375277.86001999,2619606.1619478,1145814.66065348,1623534.85297078,3009778.87675002,102.919989757628,70.9269954020599,103.742221993201,67.8673282852575,108.095780846709,332.407460267976,180.768710155219,163.59182341516,110.976803177031,223.348486156541,177.997785512015,161.04751616155,146.211720184696,160.509255984882
"4445",1.76694966384937,0.53506942445513,0.10467975873801,0.038537997639835,4421.47317613119,0,0,0,46859.8942669376,851768.161924486,1688909.14414645,1247643.24051124,1159401.665428,1934549.50074982,3663335.76861483,2581850.3370615,2437298.37441323,1906687.201989,2306337.23274066,3176755.20025482,2476269.54127326,1093770.09716391,1575061.36777745,3212863.18413982,97.021810571199,67.5600946291852,97.0534580337746,65.0940599457906,101.711780313166,321.85860015532,189.942772313004,172.526592754732,114.767734362776,236.6064086773,186.27640958607,168.281575966416,152.070338854337,170.436326072141
"4446",1.60796984717885,0.64939634944299,0.0941566878787657,0.035652807009625,4420.07144436857,0,0,0,50812.1702240826,923603.210779893,2030366.64255544,1512258.06256914,1425106.51524422,2407060.21511017,4690495.24684163,3375956.35231917,3223517.81525545,2528241.97843368,3060370.13692605,4199609.17071348,3274528.173057,1425300.56406588,2015786.95818306,4015746.38307677,115.193545064267,79.4547603131246,116.039803674815,76.0718670053739,120.967727293625,372.894611514933,215.54832926496,196.730723821995,127.484033536156,271.380031516335,210.258202309125,189.561705254729,170.233535504871,196.077670821736
"4447",1.82438067132129,0.530020117487887,0.102277797643772,0.0360654255753131,4420.3947787145,0,0,0,46372.1257482049,842936.739780271,1666212.12423236,1229339.10512959,1139971.96452023,1897181.92996222,3580557.42324875,2516344.95592346,2372278.62221769,1854796.79387766,2242123.62521881,3085558.20115955,2402328.06657003,1059910.29564687,1527555.54723296,3317044.13776436,95.5565117084044,66.3991730895984,95.7374545137796,63.8861168955269,100.213765875959,315.285110990534,189.06027308752,172.431671329697,112.177261945453,237.655697184087,184.567549485455,166.450356071351,149.618861162313,171.634670822995
