"","par1","par2","par3","par4","log.lik","rec1","rec2","rec3","rec4","rec5","rec6","rec7","rec8","rec9","rec10","rec11","rec12","rec13","rec14","rec15","rec16","Biomass1","Biomass2","Biomass3","Biomass4","Biomass5","Biomass6","Biomass7","Biomass8","Biomass9","Biomass10","Biomass11"
"814",2.1118897900892,0.47522434435498,0.11242740734405,0.0352637205059517,3074.50984317455,0,0,0,38690.2748237478,692318.664527347,1396542.90455924,1024066.17469942,912074.804444232,1472797.73214436,2573784.85235116,1683141.50971462,1545825.49691081,1426510.25846034,1870251.48988043,2348230.71095392,1736634.5750604,66.7464704972802,52.7133201149967,72.1651765386446,46.7967806678718,77.6553690215391,219.546103744158,138.988326796773,100.215552462608,86.3519441553006,196.753336064856,153.699417042175
"820",2.00239082807789,0.561327199767986,0.0932766534003013,0.0306284025468116,3073.78560188552,0,0,0,40596.4627451449,726429.238220047,1596917.25426211,1177980.8919347,1059696.46162397,1725240.36027908,3088632.26798834,2046500.00601776,1878910.48612889,1728712.17493815,2247387.07693713,2777831.73086874,2190550.32206512,80.5916374163384,62.5782828974832,88.2326611829205,54.9347674857808,94.049291911692,253.813622442249,156.032245106705,113.501092174425,93.0700302332392,225.188562082301,170.838576315428
"822",1.82508103508703,0.555085275764699,0.112831824338603,0.0335808582157986,3073.44038170273,0,0,0,41434.0805560017,741344.82265623,1597226.38609573,1180370.11775748,1066062.03379466,1747494.26897891,3137870.57093662,2096812.0540568,1960742.2868768,1811786.27729971,2371833.66072841,2961878.55240124,2185866.32609704,77.0403032938663,60.8634014303855,83.2736609424924,54.0439675669397,89.6261269081669,253.621050171164,164.260968318772,118.799976096213,100.64717713989,234.094542194874,181.026222346533
"823",1.73595550442619,0.559160452127491,0.0943094098495038,0.0370571112126031,3073.40708136197,0,0,0,42064.4861303886,752575.467041884,1662098.3809532,1232675.38303341,1117534.33936364,1836374.1483466,3333828.66193433,2219202.33265654,2032772.39524198,1881546.02003037,2468793.77794871,3089879.0357982,2086940.77444724,92.2048594183693,71.6650518631777,100.875809099898,62.9524773718135,107.583235494593,291.118242140337,165.604008047376,119.038930393455,104.315868598032,232.841856194328,183.762497791229
"824",2.02185507551312,0.515689398371145,0.0909576707854977,0.0360188547565987,3073.23036875376,0,0,0,39728.0520322138,710877.5522315,1511802.92584315,1113313.51190509,997564.414397002,1617921.65751363,2874778.64239544,1885891.40546581,1708477.63162565,1575486.58529153,2059368.08015782,2568388.46088067,1808856.13053408,81.3270466361415,63.0108620523211,89.1800066400015,55.2328955340145,94.9445265622111,254.670104227374,143.88198555933,103.607372880352,89.9234187207685,203.089859717989,159.345473244527
"826",1.82987150241952,0.52863010544047,0.113025914764718,0.0322830381917595,3072.45680516895,0,0,0,40910.8354999583,731966.891765483,1546259.73026384,1141634.17506071,1028863.45078498,1683264.23882195,3009795.35306839,2000376.23182052,1864898.71755227,1726403.54906203,2269389.33662727,2856465.12974338,2240252.93007582,76.7456400816457,60.6403881383088,82.9451146577851,53.8516059962209,89.2807112946636,252.754067211319,166.713521999802,120.8715130761,100.992962710815,238.877205328749,183.218398934599
"828",1.92209685359589,0.539618148949247,0.105903346991247,0.0406094496623632,3072.78435582906,0,0,0,40619.2516263621,726799.80469376,1554573.45827137,1146623.72503858,1031675.3888121,1683040.81508638,3005145.14175491,1993938.91596533,1833405.56666623,1691558.73460045,2209964.92180565,2747160.365693,1706944.9548556,76.5240649935347,60.1009648882537,83.0798684487863,53.1615170282085,89.1203705634925,248.183396516161,144.15524292944,103.038321768815,93.0698900931427,200.16429274852,160.961603915911
"829",2.15084958859555,0.474066406624926,0.108170983228739,0.0425404179346189,3074.97235238563,0,0,0,38529.1296304499,689445.037560051,1393510.92058862,1021449.20064347,908925.218119284,1465588.89282796,2558503.92727013,1669658.74107363,1518086.70226766,1399282.88229224,1830644.0514671,2286187.87074892,1414993.18696568,67.3565421395786,53.0043317616429,73.0207455394862,46.9445521936316,78.4161673531673,219.541423413445,126.53391343996,90.1871616657678,82.6875079155142,174.590014079617,141.724805774748
"831",1.63619532360977,0.630591248435604,0.109437734148663,0.0276152598216,3075.10067380174,0,0,0,44251.8194554004,791706.00817676,1820411.11974073,1354515.66924846,1237715.03011519,2052318.87524746,3767303.36548031,2561102.82780988,2436811.81462501,2250715.53804687,2935348.00850209,3638497.75598072,3062885.10633247,87.8119821041747,69.1757745968959,95.1197070875301,61.3105738840616,102.210342957641,287.000285164411,200.546907901048,146.832792502658,115.927614560999,293.544069851698,217.946563146579
"832",1.8236712201691,0.585576308571127,0.101992366211539,0.0369710478886476,3072.56841263132,0,0,0,42015.0986052835,751759.53763596,1675610.3156772,1240496.26423137,1123337.84232225,1843794.17566401,3335816.17278408,2234400.94027404,2068854.27360383,1907605.83543845,2485045.4039769,3072042.97943247,2015646.76403239,82.8737095262713,64.8647877719634,90.2026386472145,57.2452739969783,96.5748601017863,266.424669508132,157.790487795405,113.438789767699,99.3305185738141,221.926610661355,175.06418440344
"836",1.68670155279541,0.577303283249983,0.0989844280582723,0.0383720953592317,3072.67251988639,0,0,0,42764.6357915827,765084.58011034,1707456.0432362,1268062.38569505,1152874.55383634,1900730.6789088,3465083.46913262,2320612.30752446,2139619.26433374,1980113.50353171,2595170.57040882,3238355.55411874,2091424.78972007,91.5782155150539,71.484582214482,99.8753394754461,62.9744914786647,106.770098165459,292.371718890331,168.024137679039,120.518345160407,106.851434244279,235.119473298493,186.894305562458
"838",1.8813277148752,0.576304103675254,0.101508594522598,0.0344039365788084,3072.55956121124,0,0,0,41501.1110740623,742582.170752531,1641766.46034344,1213687.07704754,1096446.64300886,1794952.34738741,3233381.92456547,2159324.62713415,1999446.65171654,1842517.29898969,2399307.97746413,2967851.10997402,2090392.18204644,80.6115607960896,63.0670549321705,87.7683353578655,55.6428327950095,93.945983083876,258.865913263644,157.681489079783,113.869090447042,97.2854314638773,223.972673378182,174.070815300682
