"","par1","par2","par3","par4","log.lik","rec1","rec2","rec3","rec4","rec5","rec6","rec7","rec8","rec9","rec10","rec11","rec12","rec13","rec14","rec15","rec16","rec17","Biomass1","Biomass2","Biomass3","Biomass4","Biomass5","Biomass6","Biomass7","Biomass8","Biomass9","Biomass10","Biomass11","Biomass12"
"529",2.04090014414254,0.459135885742939,0.112745937777883,0.0412210136002504,3440.83390381744,0,0,0,38694.3527832568,692361.912788893,1382201.22513698,1014123.70498066,903580.158178333,1460424.89836478,2553862.12360468,1666527.50517226,1507427.53881446,1381837.73276419,1791435.36643611,2506574.59409005,1432288.04801293,1278364.36289444,68.9305014315446,54.4526050173878,74.5116861931441,48.349215336376,80.1924928887803,226.882129354692,134.975061660564,96.3884245978455,87.4854694408362,187.036170632593,150.862338829381,137.189656757433
"534",1.81545218862232,0.584809502227305,0.108524525387885,0.0302819013281672,3441.20711708225,0,0,0,42051.6590662649,752409.404698888,1664664.96969072,1231948.38274336,1115562.47887592,1832271.76360511,3309682.69281502,2221960.18354826,2072253.67719128,1899554.64786568,2450204.19012933,3388197.94587208,1917140.8565895,2067132.03831961,79.6149413685118,62.6696587206689,86.2905498859315,55.5158876352729,92.6822771235812,259.695871103461,173.005720913038,125.93781665724,102.845174020893,250.073554774692,189.268577318644,170.71704871397
"537",2.15090419517972,0.47663711292908,0.09918135215484,0.0373092701749926,3440.43240557739,0,0,0,38569.9408993523,690176.184734983,1409065.96171701,1033498.43735742,920029.49452772,1483001.83550803,2595652.08722098,1690346.12456768,1519709.29987607,1389807.69606927,1794021.21985122,2492430.10784165,1412215.43399852,1350605.20782119,71.7097872144477,55.9855634274579,78.1965525804129,49.3264496841096,83.6030340504908,229.045161536427,133.282361518545,95.7653462745694,84.1124653506618,187.223101327546,147.965805843021,134.213144618734
"542",2.04383063861256,0.434966580154355,0.103300781917085,0.033719567762071,3441.34228316338,0,0,0,38277.4490333028,684891.113145649,1353151.53251538,992426.772175732,882588.701298214,1423034.26401855,2482682.87055016,1607532.91979931,1444489.35248057,1325484.51009769,1722961.65094767,2424424.30222958,1402238.04636192,1541438.13329218,73.2673797270958,57.4124151921827,79.6785239109146,50.7071718932422,85.3625895887729,236.242470791012,146.416161406456,105.866633389483,89.8191704163273,208.545283746445,161.406876481702,146.013760893589
"543",2.12408149341483,0.513236605137906,0.090754520394484,0.0348693003076713,3442.06467649549,0,0,0,39259.0008437147,702511.666026579,1487880.24981515,1093734.3366758,977326.645102888,1579869.03600014,2791916.57299906,1827478.60753158,1643391.63647681,1502091.14352642,1934402.56021721,2674119.7104804,1506394.20093889,1487410.48844338,77.5425129392158,60.0670216199191,85.0419990514988,52.6455585251526,90.5294208954198,242.696325060475,138.855948188936,100.190298921426,85.9969425834083,196.869455416936,153.432629119033,138.924448537266
"544",1.8249605624913,0.519240108149041,0.0939961850735365,0.034063337427403,3441.48765461531,0,0,0,40761.9838180728,729293.933654401,1558338.02568419,1151890.46866436,1038152.25441451,1695888.87143463,3044288.92880918,2007337.7587223,1816128.21093251,1667804.14028435,2162874.7817966,3022933.07562069,1733019.71867395,1775465.12449591,87.9243827019994,68.3181137189687,96.2133305098493,60.0006651298444,102.594185829561,277.392743134071,163.253456541407,117.966113687024,100.43857779377,232.203874233054,180.096297695451,162.965133943454
"545",1.85035531643772,0.528479283402037,0.107018392007503,0.0326837819844861,3438.69876135805,0,0,0,40795.4190933173,729912.621433009,1549774.67645672,1144222.51741208,1030748.3828476,1684541.83858076,3013448.41115899,1998211.85645533,1835735.68563657,1684579.47384977,2181432.81118925,3041218.30731014,1738497.15334519,1832482.74320505,78.8966460323761,62.0241041963885,85.5943414510398,54.8974236315594,91.8675162925687,256.508013179805,163.963574024443,118.785927712428,99.6837934661589,234.539970916276,180.353660333679,163.016319398816
"546",1.79364178918423,0.525017184694274,0.101320748185887,0.0418834967358198,3440.31631520083,0,0,0,41047.5785404157,734389.573696399,1566352.66727677,1158207.97654902,1045092.49115964,1710585.64743272,3072752.00103548,2034472.72464459,1843463.43114869,1693245.11423088,2195770.96573766,3065876.53474779,1747374.05348823,1474460.89421049,84.6662586834499,66.2281806786663,92.1944116696197,58.4253400300235,98.6743592761968,271.769676285944,152.639130628181,108.896732300357,99.3463441763455,211.055272227009,170.787303331667,155.370778455413
"548",1.77181809228663,0.618427913696732,0.102932863513084,0.0375230272629059,3442.11832120008,0,0,0,42980.1580009814,769023.150554531,1757505.51573054,1303744.6808726,1185236.21136047,1952980.88096706,3558403.48968563,2401647.11467684,2224395.90976754,2038378.96018331,2624276.6000727,3610562.56253111,2018820.74413804,1736776.00047007,84.7338256710744,66.3759830172668,92.1704616402442,58.611287162136,98.7277160937064,272.987517800058,161.418846241126,115.940811636304,102.028339485517,226.569369928974,179.272376208646,162.634076099182
"550",1.85402905472764,0.587671089159234,0.10310401412676,0.0377726249476109,3441.1678710724,0,0,0,41869.3629776871,749166.377214006,1668852.23435103,1234667.85309282,1117162.28986906,1832085.09471541,3308909.10822665,2216959.57497804,2041292.18869607,1869731.60988582,2408382.30676209,3320157.44772617,1861252.13327551,1626596.25813225,80.8793383843936,63.3661579147726,87.9678511424393,55.9591479982793,94.234095212203,260.670438161936,153.842739599844,110.453879151129,97.4157634138143,215.739533457653,170.936042753349,155.098105086735
