"","par1","par2","par3","par4","log.lik","rec1","rec2","rec3","rec4","rec5","rec6","rec7","rec8","rec9","rec10","rec11","rec12","rec13","rec14","rec15","rec16","rec17","rec18","rec19","rec20","Biomass1","Biomass2","Biomass3","Biomass4","Biomass5","Biomass6","Biomass7","Biomass8","Biomass9","Biomass10","Biomass11","Biomass12","Biomass13","Biomass14","Biomass15"
"4845",1.57015418808003,0.623975207239809,0.103206663043194,0.0343959170969737,5101.69311085873,0,0,0,50573.5526426163,919200.88707936,1963867.7803651,1462036.18802712,1376936.01099542,2331598.59808105,4530318.40958448,3254661.37005904,3129499.67757046,2456328.42640456,2970631.67519191,4029685.22281234,3068671.13752936,1649608.41275995,2764629.42360497,3501360.82674016,7432438.27600564,110.304106697238,76.7098072931889,110.445852730955,73.8466660981058,115.663050322749,366.112845850288,224.266773328942,205.170315581573,131.322101168544,283.742339178731,218.171073971087,198.161903507181,189.363179667994,266.591765604111,338.764893464117
"4849",1.81070777546793,0.580985918632021,0.0969996589046192,0.0386939233586984,5099.92184579526,0,0,0,47550.9043502917,864396.941302343,1786340.90537266,1321069.92698977,1230527.84292206,2058245.55345881,3927358.46970404,2779590.19064167,2620624.43576777,2051778.96750401,2475574.7565929,3348205.63233327,2531012.89876945,1358198.36071729,2279742.79263889,2893674.03321738,5626203.30940592,100.074514255581,69.208291906644,100.615918197435,66.3784266207396,105.04152481691,327.421386546851,185.145831793962,168.147263256591,112.004745651366,230.497275086512,181.584907528509,165.440871717036,159.607189687174,215.57784445788,272.613781924071
"4854",1.7512741712139,0.556766350941645,0.103814346020781,0.0384386743401786,5103.24056347837,0,0,0,47448.3166778778,862473.683427634,1740580.59442484,1287284.03943746,1198913.53540424,2007671.57721905,3822568.75418673,2702052.31606838,2556634.16730855,2002280.72578613,2417281.91335613,3271469.25446196,2474407.01970402,1331105.05250901,2247891.18207535,2883354.59984781,5790846.73721404,98.4777940540077,68.5219708158499,98.5652995143638,65.9877692964784,103.252239575928,327.308005838409,191.941662860312,174.390333643696,115.90869991601,239.174124675103,188.165112108482,171.406876888988,165.2765266391,223.750968159599,283.027442251258
"4855",1.6049418489267,0.669785851372607,0.0941074266015242,0.0278955816377221,5100.45953711773,0,0,0,51334.3630865508,933114.362619641,2083631.53650937,1552937.63914057,1465644.05881438,2482478.46659804,4855605.87517889,3503149.74834967,3383560.51919073,2655864.67891068,3210307.44374714,4352714.2077139,3321394.75799983,1778898.88310797,2955460.89326061,3694085.72851155,9144541.76109041,115.455635107141,79.6318720255593,116.307723829835,76.2390850507572,121.24394855059,375.134017759683,241.480967835547,223.837670499128,132.904294730954,314.395527443746,231.434730939569,209.002740610026,196.143625610595,297.728698152012,381.470807481633
"4856",1.48238794854627,0.686632362048013,0.0906665322623322,0.0344751009506813,5101.25087557278,0,0,0,53149.8116125021,966021.502442611,2204450.02164107,1650010.66772118,1566509.09667402,2668466.43345462,5276975.48703431,3822092.4828573,3659338.829657,2875714.21780664,3480266.30881616,4724831.07134553,3612038.07666066,1939159.24425886,3221820.46388138,4014387.81261464,8074811.0596243,128.515807714583,88.351997106345,129.770822420307,84.4029580300334,135.036898193649,414.050152253356,237.309131154488,217.070958505548,139.049895022743,300.148834104173,230.896098326485,209.732748804787,200.458453813278,281.981648704587,358.287704227117
"4860",1.87342925136107,0.60214874034967,0.0902086476956607,0.0329596410114376,5100.09501464977,0,0,0,47562.4195815126,864650.775552779,1826654.78414244,1350701.34833141,1257942.90307128,2101053.40225822,4015627.94419401,2843127.69850346,2684127.8049709,2100847.68224513,2533196.02767208,3424040.2424716,2589368.73445315,1385521.09277158,2313523.39763603,2916121.2725412,6441055.55976025,102.076792208154,70.1449730282499,103.106369184997,66.9899266563155,107.264661108546,328.493439162058,191.498523446066,175.659936033026,110.772868235017,243.705575496544,185.735545263545,168.507874864198,160.452458648171,229.34931943264,291.942929089702
"4861",1.86136640891404,0.62197555221151,0.0852082912673666,0.0313860067913563,5101.74529636209,0,0,0,48058.1440717285,873668.764609214,1886115.31932449,1396449.64007375,1303063.11630151,2178902.05082056,4185583.23208873,2969079.11383785,2800231.87162923,2192378.22463048,2643854.82205467,3574178.10731968,2706395.2861511,1446871.84115488,2408518.61886566,3020393.25462321,6866960.32300947,107.254118493558,73.3445623583841,108.717504924255,69.8148024063653,112.802226831875,340.774687046241,197.013461666996,181.273433039285,112.348160154806,252.410309076657,190.422706723996,172.530349028849,163.599688061797,237.982699156715,303.524654814715
"4862",1.81836750305775,0.611876089268735,0.0966837431619395,0.0306480266809055,5100.17046816768,0,0,0,48155.8973639097,875420.392437671,1852114.16948678,1370777.895073,1279363.23850897,2143232.90055854,4105768.82560593,2922234.30594426,2791248.68451426,2185895.91067808,2637072.44338715,3566839.8169793,2702501.85069174,1446378.40234929,2414409.44277167,3043559.75685885,7164679.18345384,99.8923240737467,69.0622598772965,100.454088322405,66.2255368229632,104.855724327053,326.580290603383,203.878695157255,187.870335978365,115.44750586827,262.05761446538,196.724019474422,178.123046872616,168.556297320276,247.300029664249,315.704556594778
"4866",1.76412237214368,0.581314849573208,0.100773334189064,0.0319827403094836,5101.03858024799,0,0,0,47895.2566679429,870629.012860698,1794801.38873652,1328316.3600138,1238970.78264402,2076485.56812159,3968293.18730521,2814902.6996797,2682763.93392124,2101307.88877028,2536400.62821166,3432725.82601,2600397.65045913,1395525.86747554,2345470.61896503,2990738.83126014,6980530.06398815,99.8896077521212,69.3170890429381,100.177855134353,66.6343206399567,104.783269274596,329.710681777801,206.111204101536,189.420572698825,118.187609643194,263.385954785576,199.483064619325,180.832459524978,171.74887771898,248.154108178034,316.260509612968
"4870",1.48814289699889,0.698082777952374,0.0986614457115948,0.0353765717058521,5101.56428132577,0,0,0,53375.8444935515,970151.593156812,2209701.20901305,1652728.20106451,1569207.68356069,2675435.8266178,5280005.6488945,3844679.78629043,3723227.69298437,2925997.20423793,3540807.05953127,4806219.33739935,3674538.34802686,1971917.05772638,3269670.46841973,4057202.1977773,7879274.53590163,120.258652072958,83.2931823081121,120.774801786054,79.9682030185352,126.193247909233,395.002596551349,233.793898763341,213.511708044142,137.991059452899,294.657583502296,227.886057788907,207.140667570585,198.402449502832,276.547475687946,351.013088509512
