"","par1","par2","par3","par4","log.lik","rec1","rec2","rec3","rec4","rec5","rec6","rec7","rec8","rec9","rec10","rec11","rec12","rec13","rec14","rec15","rec16","rec17","Biomass1","Biomass2","Biomass3","Biomass4","Biomass5","Biomass6","Biomass7","Biomass8","Biomass9","Biomass10","Biomass11","Biomass12"
"297",1.99078678257273,0.559020503684646,0.0975523160878568,0.0411109532517953,3443.06167988047,0,0,0,36190.3601770129,731740.075152061,1591050.4500455,1171130.92655851,1053549.2697866,1716095.88009171,3072225.23274497,2031161.2917919,1847427.346938,1690285.46304933,2175060.44992156,2996005.43013418,1673372.5574123,1375145.88154156,78.7976283470463,61.1359535164184,85.6099060407038,53.8111040958904,91.4536573371953,249.531547981135,138.258689973261,98.9335832689209,89.7180915975539,192.013415904537,154.79288889803,140.754531744123
"298",1.85191957860798,0.564087563041109,0.0973516117621529,0.0292440321891773,3439.75849777792,0,0,0,36931.5794053526,746676.939006983,1636423.90927083,1208020.78846479,1091443.77905473,1786658.56587969,3225028.16386167,2139243.23226673,1969716.30979424,1806065.36263446,2331677.70783581,3231754.53371935,1835712.80003979,2078672.530093,84.834804804268,65.80763713194,92.181084458397,57.9159686575408,98.4633606372584,268.52137048513,171.992939757242,125.762587358804,101.409345139036,250.368395642936,188.120538054085,169.517297674697
"299",1.85636249307369,0.611328025614436,0.0966176697800699,0.0350070017771396,3442.51627442015,0,0,0,37685.763596241,761953.380813087,1731802.89734386,1280210.08603611,1160503.03741309,1904786.68905852,3461228.13580663,2315951.33110523,2136532.05744629,1956379.82345819,2515542.77037327,3455534.55392268,1929975.55851742,1770980.71816075,85.1050536896477,65.9719552627768,92.5191301634035,58.0344898387056,98.7875788034748,268.904755944008,158.286852443253,114.418136623204,98.3425694587018,224.760208015794,175.312577930746,158.752115248383
"300",1.64458668757901,0.602517789187882,0.102705029555797,0.0256477360541378,3441.6678100459,0,0,0,38850.0255723071,785369.305528198,1772941.03395409,1316067.67541718,1200256.5327384,1985490.69193202,3640903.04957609,2446999.33112508,2292618.49555425,2106846.02114417,2725196.30479876,3784619.69944273,2162798.1049427,2713233.72858128,91.8641478617968,71.6114076961705,99.4752832907758,63.2258399534745,106.540208221101,294.426736230135,206.457854247682,152.235058255423,116.909176675015,305.976875117153,223.718053868866,200.848308813883
"303",1.68507304951951,0.600707312320328,0.113155584320513,0.0285472250099161,3443.15926036932,0,0,0,38540.7652785679,779144.362237682,1734192.15278248,1284807.85051599,1169458.78265421,1932493.35610183,3523022.17220024,2373930.57582496,2242321.4390896,2059297.77247416,2661188.42871688,3689385.36844815,2098843.43515764,2378177.56607015,83.6482980469366,65.8051555902893,89.9926260652485,58.4422719281664,96.8724680629933,274.326372643452,191.194280115273,140.018771832969,111.911625193444,279.243524882782,208.765735246434,187.994104442265
"304",1.90047859314775,0.459259127461186,0.101834361355178,0.0406124771866282,3443.33094625934,0,0,0,35003.819837298,707656.619416285,1423809.51256716,1045928.28876283,935749.401152585,1518675.46010131,2684431.2228427,1744635.47405138,1569161.82177199,1442534.00107869,1877453.91638201,2642876.19734912,1524409.93717441,1392746.68282777,79.9882121942274,62.3045788119955,86.6635108511161,54.9806876413393,92.7784306156101,255.852577775966,145.517278080708,104.206882192985,94.1276760472471,202.433228867889,162.78863268996,147.979671832
"305",1.75471313093762,0.519908244953129,0.101601033210711,0.0289021752088511,3442.82487293637,0,0,0,36692.3905077708,741751.656876463,1569540.65875362,1159069.38159446,1046764.50408353,1715272.58463872,3088241.61453148,2037271.83503552,1869915.96073765,1719919.66592469,2235022.04797935,3135086.30217591,1812636.5387565,2175109.35835111,86.7776074132343,67.5786680245134,94.0335334146776,59.626597800998,100.656793972884,277.420178416262,182.531422581126,133.568930245238,107.241815154243,266.139108622164,199.481245062344,179.695544350551
"306",2.00562081967902,0.523492212070839,0.0975113398423745,0.0416888136676725,3441.07937343459,0,0,0,35584.3576403464,719477.001387365,1522355.59217177,1118984.35996117,1003511.7586954,1629939.32476848,2899875.88658774,1903366.50040373,1720348.24193615,1575101.27038293,2031937.65402396,2814016.43500464,1583873.67750721,1324688.8601921,78.2390061598676,60.700221619667,85.0052612366886,53.4262433359356,90.8058525224599,247.738382301499,136.49908216136,97.5896229926815,88.8979557570616,189.206798886989,152.962920307364,139.139172809071
"308",1.91693857868028,0.557098798510485,0.0923505496089168,0.0334068644051511,3440.46904140834,0,0,0,36497.2888843882,737919.684425103,1614342.6359368,1190338.74640991,1073027.1408067,1751190.43452353,3151176.19074727,2081401.52134093,1896232.53759664,1737150.76825933,2240174.17832096,3098899.50403725,1750322.53318943,1753646.84071058,85.2247292573562,65.7972525117685,92.9112545057238,57.7267029007018,98.9887877789829,266.497003289017,156.414149112896,113.401868303967,95.899627223442,223.544266091915,172.681369013034,156.173877824934
"311",1.75980842992449,0.565469225245104,0.0914113948543483,0.028064844963868,3442.59374569121,0,0,0,37455.1851181781,757215.442852226,1676307.99656041,1240617.91389125,1124487.0407587,1846404.61252611,3356828.56168797,2226232.51726005,2040421.84982787,1873632.98679722,2424214.75800069,3372001.80940991,1927454.75716345,2280011.89094197,93.546092998023,72.1561696674106,102.047339881155,63.2677331169266,108.669342170924,291.835169044074,184.574607803369,135.318447731667,107.477598718635,270.206278336843,201.294153729405,181.179197275231
"313",1.63751847880528,0.614376813800136,0.107047877352988,0.032816328103309,3441.07462959432,0,0,0,39120.4774293417,790843.156343339,1792880.58719671,1331055.15384875,1215007.78979888,2012367.62531213,3692521.22115648,2491616.04138642,2334292.30602015,2144372.66022306,2770685.49830109,3836664.67202559,2173400.70949618,2142862.12238694,89.5445783735419,70.0736676897787,96.698595559373,62.0231139049961,103.78708255694,289.80933413762,184.546242021296,133.950320641472,112.569935538702,264.401966623138,203.487625632828,183.946589778996
"315",1.74859604686662,0.565815712099866,0.0988981382844329,0.0398745283550607,3440.42767639018,0,0,0,37525.9141280528,758638.777913222,1667144.03378128,1233423.12929423,1118108.03286252,1837644.40906083,3335756.80283392,2218764.69591334,2027414.9403353,1861636.43983693,2408186.71965674,3344885.09031283,1894394.55382236,1617690.05912482,88.8133060427053,68.9928599604634,96.407083100451,60.7762407949258,103.057935110628,282.145781479498,159.29937849858,114.207325612062,102.546276356914,222.165766612253,177.990416655728,161.723425798485
"317",1.71235837699798,0.589026321086381,0.0906038492497045,0.0387425275899128,3442.74422584215,0,0,0,38154.4769900636,771342.720242218,1743033.16354729,1292503.71916667,1175422.40303529,1936131.20171477,3542892.64526372,2361440.99658291,2148941.18625233,1973028.9938171,2549569.33338641,3532511.59884794,1994967.29667035,1717667.06303926,96.7794260497571,74.59159295036,105.631903882689,65.3692301229616,112.439040748718,301.311959245747,164.54660439154,118.182642367721,105.114927137222,230.396508065569,183.501003078875,166.607776943193
"318",1.78913064783808,0.505048091104532,0.108508719710575,0.0295886385567609,3442.12792462481,0,0,0,36259.476877076,733010.157537749,1522385.9435605,1122256.60431126,1010980.77085939,1653393.04113391,2958531.99491422,1948826.76903729,1793932.4376759,1649919.84736283,2145126.6133841,3012749.23618419,1743962.68347496,2070018.29237803,81.1650202774378,63.5973931898119,87.5700201033379,56.3372219608347,94.0558034605538,263.534807585704,177.053089900106,129.365533812227,104.760969892912,257.319197371564,193.81544146018,174.706009183475
"320",1.93124210234827,0.448993695623226,0.106472514209595,0.0360736403004093,3442.43343091205,0,0,0,34720.3477808381,701935.09627783,1394856.41390607,1023372.02205968,913858.937307627,1480731.54695272,2605477.27123029,1690993.58945459,1528916.9602929,1405444.25616656,1829913.86409186,2579520.14119908,1494352.76973158,1534855.03744481,76.2200138202771,59.6162518968905,82.3390663064977,52.7498865935718,88.3502128734501,246.37013666991,150.232224034218,108.389071953051,94.1222507156208,212.43868205355,166.732915435079,151.102748417875
"322",1.87136459354273,0.529339369398822,0.0999062929229809,0.0351881742265125,3439.1173800901,0,0,0,36265.6180991069,733200.114952361,1560099.14558474,1149700.29789348,1035336.60058933,1690133.00307791,3029198.6898886,1996741.32737592,1821957.13952319,1671648.81017252,2163136.60082898,3011520.38221406,1715386.63068215,1684280.30555464,82.3728966630417,64.049223969121,89.357744479791,56.4555509715239,95.5707085209681,262.305023326572,156.673362999003,113.214667667758,97.4809977729291,222.31021461089,173.58687643738,157.210962870988
"325",1.92714636508925,0.529359909618035,0.104854036499835,0.0378156936336193,3439.6867629124,0,0,0,36009.5670911438,728048.16813682,1539250.37032005,1132686.07677969,1018221.32220404,1659505.51491967,2961427.94777374,1953308.84310572,1786475.83421934,1637516.95145181,2115776.91855501,2937850.18112097,1664135.03868328,1522691.12197445,77.2290265479329,60.3188985617133,83.5138829991482,53.3221772430744,89.5399670772429,248.730021741944,147.646393165991,106.206201490144,93.705168993812,207.425187983796,164.386847648944,149.160122615454
"327",2.10354572619878,0.46424379664505,0.110689061685926,0.0345228024145465,3441.59468545496,0,0,0,34344.5620915137,694415.555334995,1385098.56715499,1013526.43843137,902090.839333551,1455629.01207092,2543614.56840191,1653261.00768855,1504742.17787482,1378150.97404627,1783330.93697028,2488956.22081825,1422086.07545547,1483152.98570687,68.0616644168661,53.430832007415,73.3340255257615,47.3886337669521,78.8479043693109,222.037945049842,140.521904684993,101.666727491273,86.9639171035136,199.919890111819,155.48813842303,140.748153118532
"329",2.14275903616483,0.488471377953843,0.0953374982488213,0.0284597171325062,3442.6344653637,0,0,0,34564.1520766933,698874.960523422,1438122.226117,1053550.11443821,939042.800507257,1514919.83601496,2663073.29614164,1730646.66584455,1568273.49848332,1434489.36887789,1850814.13071267,2570210.86198127,1462834.78868011,1784428.74182646,74.4603948594267,57.6508628400611,81.0152645182325,50.6744916714209,86.447750011699,234.546755789719,150.576210088133,110.294301849897,88.0544982273582,220.012621504144,164.378935156959,148.010929824423
"331",2.08937949862963,0.488772575442009,0.10851200627845,0.0423893154507199,3442.66372964709,0,0,0,34750.1598157945,702621.842845164,1430340.23185222,1047882.29253883,934907.89013307,1511854.36832572,2655960.53188165,1734521.56455925,1573328.28735294,1439999.92984094,1859317.53631173,2581934.90109988,1458093.76253407,1231343.14137554,69.4999077656433,54.4572722748064,74.984222384415,48.2406106651112,80.537979260455,225.66096195001,130.195376800367,92.9865442668095,85.1575450531419,180.05724837483,146.057820833604,132.91325607551
"332",1.94570999916827,0.523130962350484,0.112082341191626,0.0259322768810013,3443.60228618211,0,0,0,35829.8161675561,724418.041977413,1513081.26014244,1112261.93143531,998648.108604203,1626586.48350768,2891512.08251394,1908503.94595732,1773682.41738218,1625933.00149147,2101969.96045122,2925083.02277627,1673850.41328096,2189419.64744773,72.9329206245804,57.3232276850776,78.5157364977465,50.8797087874171,84.4752415122721,238.640709343474,173.541928762821,127.87401318285,98.6112308186387,256.809722861075,188.198813532875,169.013340933867
"335",1.72236566862857,0.55228284540786,0.108172278633395,0.0300495395518349,3440.62630079207,0,0,0,37441.0955992821,756894.819589864,1632182.38647108,1206910.36144766,1093566.19759397,1798600.0107763,3254602.95728794,2166915.54176481,2012494.15761223,1849896.9975033,2398457.75164867,3348091.79962155,1921526.15644521,2163133.00621375,84.4986457800775,66.1900661635558,91.1857289993219,58.6228554000747,97.9234025478189,274.156578037213,182.596826522534,133.284141920358,108.5415880374,264.811672183858,200.10191560666,180.450059797043
