"","par1","par2","par3","par4","log.lik","rec1","rec2","rec3","rec4","rec5","rec6","rec7","rec8","rec9","rec10","rec11","rec12","rec13","rec14","rec15","rec16","rec17","rec18","Biomass1","Biomass2","Biomass3","Biomass4","Biomass5","Biomass6","Biomass7","Biomass8","Biomass9","Biomass10","Biomass11","Biomass12","Biomass13"
"4531",1.99913249719015,0.494544628766877,0.106165173456599,0.0409559379465964,3923.79234247036,0,0,0,44673.5686511058,812126.236918598,1550057.82586914,1138097.39988476,1047065.49210541,1728294.71038499,3209983.95919078,2235610.98367074,2092115.26411532,1632595.49775786,1992028.52062914,2781685.96678389,2276050.52852237,743327.346056025,935704.269449232,84.889635713811,59.1884157413735,84.8358948705015,57.0765631431543,88.9724207410679,282.542610862653,163.877074050199,148.295568073881,100.63495359502,202.448604572232,161.376633270456,146.013076999386,132.573121078464
"4532",2.08679534833885,0.480882627368902,0.109305052852689,0.0319111287438162,3926.58344168319,0,0,0,44007.0010783154,800034.855533189,1503976.22751943,1101903.59487559,1010322.11366994,1661730.1686904,3063561.9885319,2126436.75958418,2004168.25892668,1562561.85106253,1904991.07112396,2658862.03844203,2176761.04618944,712825.90874803,1142034.90583986,79.6482065901676,55.6836156387329,79.4382562274943,53.7919108542298,83.4383055685551,266.92135171168,174.327268971251,160.21424902731,99.8845791004254,222.844426591005,168.728879782037,151.667999624847,134.947515783647
"4534",1.93135659851884,0.502877078078898,0.0984098099760815,0.0404478251543616,3923.21808189678,0,0,0,45186.3111589867,821421.059585741,1591899.65758739,1171215.20712106,1080481.46142743,1787718.31912474,3343285.55177865,2329534.40490448,2169102.00732872,1693814.63082982,2068483.84487714,2891620.16443313,2370907.83586873,775159.362203582,984189.724796011,92.8347120306284,64.2842014920613,93.2488144243163,61.7086463636253,97.4199592330077,303.579723575139,170.458017316821,154.368696676717,104.332985999891,210.936982986357,167.716446003409,151.701558141515,137.605827832873
"4537",1.99680199539333,0.456340548727435,0.101249554889727,0.035306672815308,3925.10612963818,0,0,0,43942.4701593232,798811.506090607,1487837.82996821,1091312.12686987,1001074.30504075,1647417.0058047,3043724.87367816,2100172.71747908,1952679.72412605,1523006.10469131,1862079.00308161,2612168.4853777,2151787.63679162,712150.428408737,1066906.41526022,87.9478412389059,61.0562508144205,88.1739333885448,58.709788374266,92.2494190670782,289.499607147513,174.294946644655,159.175443085432,102.803777882677,219.734948121659,169.901951938361,153.13835183267,137.414242732931
"4541",1.97323176471318,0.521255246322857,0.0943989987119899,0.0395542408387432,3923.56826879253,0,0,0,45327.9700569329,824026.785992332,1624196.78147788,1195123.9125158,1102983.15561582,1824240.38178775,3418056.78190979,2385537.72711491,2220375.46572012,1733686.99373368,2113848.22149964,2946148.04094541,2406373.59697878,781238.909026101,993360.376256199,93.6917299690505,64.6384983861451,94.3644538096237,61.895811791895,98.3841506021904,303.468861623917,168.320131640131,152.641722347732,102.415648469019,208.927234187022,165.363362629239,149.488382882401,135.363601974431
"4546",1.79083504306934,0.576818700782616,0.0913215003167643,0.0361445983607948,3924.25409534179,0,0,0,47602.2987037378,865316.496099838,1794763.02067606,1328291.74897766,1237817.04402181,2067173.65517274,3949206.81770709,2791843.18611631,2622883.37971438,2052453.10298846,2504473.15986364,3489451.31775926,2856346.25740184,921970.724105236,1227197.67104114,105.809956657456,72.7876262027281,106.794827111292,69.5635306892526,111.166596924645,340.145739373652,192.424449520859,175.476039873579,114.242989229564,241.811876353256,187.880324187534,169.447720230572,152.340262473876
"4548",2.03140503857016,0.526500949370825,0.089442309167938,0.0363391806988885,3925.24735496037,0,0,0,45128.1480900917,820418.848627937,1629485.28650191,1198390.90488074,1104886.20877237,1824004.50629307,3414968.59682737,2379535.25753164,2211345.80318456,1725967.73207917,2101964.29570865,2924039.12272539,2383264.24248314,771236.784163945,1052479.4713223,94.7427388108169,65.057254851219,95.7493916848644,62.1001720952467,99.5708592845998,303.141187410435,169.255317406956,154.296131811679,100.637252555227,212.539680599053,165.319766153461,149.121567828341,134.12462261136
"4551",1.94527799054697,0.502212867414754,0.110394115639969,0.0433155031516275,3925.03095750864,0,0,0,45098.9087688568,819838.659220806,1569800.90288801,1153700.92353642,1063485.56733567,1759868.33389606,3278322.96597344,2291863.21631497,2152328.17230234,1680501.4258342,2051689.80917733,2866661.65827893,2347195.57148334,766295.556694489,912577.568717914,84.8430586740242,59.3701433447774,84.5611306414985,57.3878487795128,88.8655244200389,284.997049353691,164.840100143719,148.659414248439,102.704118008979,202.094898113038,162.930801544458,147.624912764387,134.605630755108
"4552",1.9826523974248,0.50889172539694,0.103713441885506,0.0420101441795064,3923.77845194002,0,0,0,45036.1348099003,818718.493743093,1583808.65341318,1163972.8207143,1072637.54624481,1773014.97754119,3305608.95878258,2307890.52295058,2158456.39089389,1684924.77248375,2055114.27148397,2866673.62034833,2342331.01002893,762168.999911331,925954.323189432,87.0463771520648,60.5624894536359,87.1294475514735,58.3192413026416,91.2680558539308,288.141074325978,163.623932914001,147.837064605263,101.147428316481,201.438298728524,161.40117950752,146.128226328303,132.934864052084
"4555",2.05224716033867,0.43872702944667,0.10831948283061,0.037613126237545,3925.22400773174,0,0,0,43363.4823755454,788300.991260236,1438509.88372779,1053012.51872701,962955.603433557,1580269.93252718,2897648.78756803,1994022.30506751,1855372.17312845,1446053.26644138,1767651.43876393,2480058.82686399,2041245.69790113,676687.810539881,966997.339008398,81.5131214249485,56.9395890167088,81.3492090141549,54.9749234593357,85.4049305904921,272.58854110973,165.162542259941,150.243814531504,99.1390289734766,206.423420653085,161.705592620638,145.992723232198,131.674653014692
