"","par1","par2","par3","par4","log.lik","rec1","rec2","rec3","rec4","rec5","rec6","rec7","rec8","rec9","rec10","rec11","rec12","rec13","rec14","rec15","rec16","Biomass1","Biomass2","Biomass3","Biomass4","Biomass5","Biomass6","Biomass7","Biomass8","Biomass9","Biomass10","Biomass11"
"34",2.11196901978317,0.494426868035098,0.098002308492779,0.0256828702503034,3074.28623393315,0,0,0,39001.8945996996,697901.72094863,1447083.77701842,1062761.41072154,948341.947503,1532264.11199048,2695814.99649764,1762409.43656193,1615207.91276119,1489137.48760557,1948711.20263261,2444750.27428707,2400953.65372693,73.6738580303416,57.4574161511998,80.4015044142646,50.5871538253671,85.909307756363,234.66971101247,161.052892566693,118.45320754066,91.0134574504046,238.055389579205,174.105949128627
"36",1.62067772521604,0.596608912775071,0.104766626506385,0.0249323603453208,3074.08243689797,0,0,0,43664.7098976397,781156.322044142,1761695.37797698,1310661.39718193,1195763.43484973,1979633.84421042,3626641.53398591,2445982.55136098,2308164.57559683,2137816.86295583,2804866.32625107,3517776.32278665,3371687.59018155,91.4629581478583,71.7627354111559,99.3715344699129,63.4353852556447,106.537286514951,295.884482398488,213.060813726817,156.994744593195,119.276722015336,316.18362995632,229.831458446631
"38",1.99443132841265,0.537815641545469,0.0920827612821572,0.029799511483093,3072.99152884924,0,0,0,40231.3662580383,719884.31191624,1556593.2591636,1147629.10583932,1030803.42768489,1675908.4533446,2991743.41018963,1972758.15648028,1804652.73712006,1663204.66119952,2170503.20713118,2702598.28952863,2236106.40267161,81.6923768000447,63.3616126206276,89.5110783776466,55.5803435107289,95.3529255733526,256.527790498452,158.661258324266,115.612342052927,93.8655212021199,229.842598900388,173.376001907304
"42",1.73335515181697,0.53659276199178,0.114192942826221,0.0414672476454497,3073.89489129993,0,0,0,41635.8876520794,744885.169183642,1585623.5022619,1173388.89071602,1061326.30214406,1743670.27551995,3137596.23288439,2093221.12485014,1942568.70050309,1800850.29775921,2370426.39734445,2980160.65793199,1850056.99510312,80.4358263613046,63.6175729541656,86.8703345692481,56.5310535202289,93.5572094042942,265.554527544019,158.557182869326,113.187731790664,102.930407334142,219.536148605663,177.290801519834
"47",2.15945706577364,0.450243336595052,0.0947851888406682,0.0287162377305188,3074.43142949922,0,0,0,38119.8698045236,682115.779398936,1369895.31482175,1003947.88879105,891678.410197739,1433719.19038017,2499305.83695851,1616502.53615332,1463832.23263582,1352122.02842879,1777963.5237847,2249375.30015101,2059370.83904161,73.8465888511338,57.4217700320087,80.7649856086168,50.4557891319068,86.1562778071515,233.424000138318,149.119278044681,108.912111528018,87.2382516280338,217.112633875718,162.515538962922
"49",1.92733936050437,0.504556721456778,0.113717860428355,0.0325209777607803,3072.75040005535,0,0,0,39968.91405308,715146.047972438,1479234.12657016,1089127.81730996,976905.353375909,1590226.49256905,2817490.37078604,1860417.52026172,1726351.70051214,1597116.70833923,2099613.74332088,2645787.76545772,2089038.65891888,72.5522652282263,57.3598764348544,78.3792358743211,50.9573952067613,84.3936309935615,239.290161426606,157.764507652917,114.330659009816,95.7761175889177,225.827115388853,173.473624391151
"51",1.94158597534421,0.50114897308562,0.103015722217288,0.0288927239580549,3071.55204000325,0,0,0,39841.2153659868,712865.406397085,1484860.30241401,1093626.20774124,980593.576336422,1594154.92592505,2828477.89584954,1859843.95670591,1712976.01583611,1584838.42867872,2084380.48207067,2631685.95403637,2329062.10400309,77.2799005375619,60.5414041803839,84.0577944855676,53.4618290893497,90.0415817786,249.019866071251,165.369676558055,120.734480205029,96.9254846055628,240.5719530171,180.305424282684
"52",1.77600862393334,0.503002918394228,0.101773341029359,0.0357488807259752,3073.7792627168,0,0,0,40725.7870560741,728601.50043857,1528262.13061763,1129596.27927154,1018085.04432351,1665093.38361632,2982961.49733341,1967239.57394559,1803968.29954845,1675415.56032558,2215418.47966577,2813609.06573684,2061033.06860149,85.2306005729219,66.6965204938432,92.781306202012,58.8542394453607,99.3248799073314,273.864698547392,164.319209485967,118.379297362808,102.481135603669,232.176473518185,181.884186791697
"56",1.73631049944547,0.528144821734123,0.112983608396828,0.0274292248526722,3074.10074535917,0,0,0,41450.7332794493,741566.695839755,1570430.49794897,1161856.86825753,1050165.90238577,1724069.51533259,3098849.0412033,2062904.88675273,1933521.25092407,1794663.83345212,2369325.10386165,3006385.47099715,2775208.75609777,80.9024048823453,63.92260056578,87.4399673146435,56.7650690448387,94.1170120935028,266.420282389014,189.60667293272,138.88158655217,109.374991963499,277.784966251437,205.956262194031
"60",1.63459721470199,0.612042696210299,0.0992415502483852,0.0244449174170401,3073.8111629779,0,0,0,43876.9374737173,784980.101779858,1801129.39281278,1340747.07112654,1224180.24843764,2026560.66000091,3723656.0969531,2513062.17367359,2363677.09412874,2186211.51392578,2860305.91698842,3569857.61720649,3433220.16377709,94.3183502316854,73.6406240675453,102.846136062935,64.8839077095793,109.960211501029,301.300470384838,213.402312951074,157.439713241733,118.716679625218,317.526357242692,229.868239690627
