"","par1","par2","par3","par4","log.lik","rec1","rec2","rec3","rec4","rec5","rec6","rec7","rec8","rec9","rec10","rec11","rec12","rec13","rec14","rec15","rec16","rec17","rec18","Biomass1","Biomass2","Biomass3","Biomass4","Biomass5","Biomass6","Biomass7","Biomass8","Biomass9","Biomass10","Biomass11","Biomass12","Biomass13"
"3089",2.10253138058296,0.490192894081466,0.0929973393274189,0.0443353600928502,3925.66939242003,0,0,0,44110.5603889154,801926.755600921,1540631.63193285,1129989.96885505,1036871.67497026,1704106.6140979,3156992.33256313,2184116.8795862,2011743.95301022,1568478.29579928,1910589.38277625,2660858.92043811,2166467.70029519,704049.040750236,820900.683195078,88.9111599905146,61.2598563791138,89.6353223128422,58.6088614145773,93.3859785429361,287.00389006776,151.191075850984,136.158591112349,94.7578012760494,184.778602742247,149.668526680796,135.685830360865,123.933146657637
"3092",1.99276112243468,0.511452820252368,0.0908396183416678,0.0345609726598388,3924.62770985121,0,0,0,45034.3080015564,818690.899208944,1606415.39712364,1181513.34279807,1089111.25084995,1798534.38359572,3364321.25037078,2339983.18405059,2176194.68988618,1698700.94171246,2071496.52822661,2889341.26352051,2364383.38793536,770309.969315585,1119981.68888851,95.4649010178625,65.6410211301617,96.385600610178,62.7140745265772,100.305996024992,306.522372752445,176.251307899645,161.176410560357,103.333775180679,222.852967279643,171.553221574104,154.538994736311,138.427438572807
"3094",2.01003796586332,0.520200212368872,0.0964272066894187,0.0318162403802336,3924.04344050216,0,0,0,45115.6685417356,820181.290229006,1610548.53734557,1184079.28616741,1091562.09714092,1803314.112348,3369998.77769918,2351617.93159782,2207033.30557779,1722743.79707891,2099450.05989248,2924878.45355583,2391191.26398471,777158.569050724,1210543.90119294,90.543811572649,62.584236607018,91.0687388013869,60.0041373192388,95.046712296257,294.704195148146,181.227343264936,166.586800562608,103.747625095445,231.759385184913,175.370261377751,157.625031207867,140.212132032665
"3097",1.98188469783337,0.544200969604344,0.092478499885803,0.0440010108304414,3926.11289071874,0,0,0,45731.5188355111,831378.596029024,1670741.21900466,1230287.54640118,1137245.34561061,1883000.53543436,3541347.59724921,2480705.77142008,2303367.38951961,1798918.91373098,2190879.83654147,3045110.76903414,2476169.9341963,797241.025231218,898981.492423793,94.7169161421072,65.228115475576,95.5223640979841,62.3848862707088,99.4925856163375,305.35603424165,160.84681056214,144.920451949523,100.616827575649,196.780567960236,159.148054058046,144.253075085992,131.684682947897
"3098",2.0331507907512,0.508230794826916,0.0989249452726686,0.0307865862096607,3924.44748445492,0,0,0,44770.4993155039,813908.917977146,1578959.89294747,1159718.66889524,1067383.76180031,1760902.0959429,3278320.17575095,2283141.95898258,2145043.81972423,1673771.01497578,2040034.347672,2843885.9366819,2326718.48527779,758212.393660237,1229949.84947384,87.8504549042836,60.8612562736493,88.2120163883048,58.4410334799048,92.1818089873148,287.627199616257,181.869616807982,167.522401029746,103.110315087117,233.630363341075,175.579766837381,157.67102982403,139.856619644558
"3099",1.72708156070429,0.517734661849052,0.102733206179482,0.0417699256207322,3926.48499810926,0,0,0,46750.6193752258,849730.620952293,1667961.3761834,1232770.01385783,1145646.00740385,1912197.35309975,3621312.70574821,2543677.6817582,2383668.34461888,1865013.66533538,2284661.79180305,3207611.50183081,2647878.94043342,870378.96021852,1072560.42851589,100.615648464085,69.9428170051233,100.776114349495,67.3136202829467,105.511826767254,332.321215394415,188.251056241579,170.147525540947,116.198173922435,231.937570343873,185.622828770494,168.033814496004,152.796217021207
"3100",1.85867909189321,0.572665667072908,0.0944918970121524,0.0410169442205161,3924.6781349476,0,0,0,47048.3003055451,855279.697163925,1758722.01164864,1299203.85007107,1207677.58615758,2011858.60387958,3822943.55814966,2700306.19910064,2531501.44131925,1979748.06053375,2413325.38971709,3356699.34438511,2736995.70979231,880247.413417252,1040838.90067936,99.3936664348132,68.5782389406971,100.101002977716,65.6721970044359,104.370050180632,322.009874031069,176.15852321952,159.394785975404,108.219073754244,217.576618215295,173.488004067263,156.977283748833,142.544374483846
"3105",2.15639573624467,0.505047297677468,0.0948322425009268,0.0376031487218154,3926.30371942801,0,0,0,44147.5261430152,802619.630133572,1554924.5441873,1139951.83343717,1045873.4967164,1718224.01910567,3181272.88667703,2206833.33650288,2051495.23935439,1599171.0352909,1945168.67401433,2702278.17770409,2195621.78340329,710246.777228089,949306.817762233,85.4435810803247,58.9718402921972,86.0317349236334,56.484866642935,89.7164540592435,277.042807430637,157.20269964182,143.005312425358,94.3542892706776,196.482188846503,153.909552563434,138.953264919506,125.322929078109
"3107",1.93904337059691,0.510865992531072,0.109176826809864,0.0452611605890711,3925.48242310888,0,0,0,45305.0890170367,823589.30910654,1589173.59403241,1168504.69291576,1078092.56382713,1785393.38693481,3332587.40484405,2333354.03027149,2188701.53731642,1709184.7022434,2086053.68893165,2912198.07962457,2381137.37315993,775182.076907781,879846.541162938,85.7888716425553,59.9701406787369,85.5696958582416,57.92867397496,89.8729487423296,287.420683233319,162.694899928531,146.336574259926,102.497718367215,198.284514204202,161.273778255229,146.280227700669,133.812500383644
"3109",1.94489987003456,0.523171749788855,0.0999844814313708,0.0383628637082477,3922.85729355072,0,0,0,45519.0470647303,827489.191038602,1625556.24387649,1196365.34926017,1104979.20899335,1830140.69481164,3430044.31663858,2400368.31942976,2249612.08735788,1756964.4293635,2143136.9231128,2988959.5231991,2444626.71716365,794629.824290983,1039783.38485277,91.1250526934136,63.1902721473771,91.4357057685814,60.7160608986375,95.6014710770706,299.084605406814,172.882164840887,157.074441501227,104.330827265873,215.48869281694,169.492433197722,153.101025406649,138.302429621643
