"","par1","par2","par3","par4","log.lik","rec1","rec2","rec3","rec4","rec5","rec6","rec7","rec8","rec9","rec10","rec11","rec12","rec13","rec14","rec15","rec16","rec17","Biomass1","Biomass2","Biomass3","Biomass4","Biomass5","Biomass6","Biomass7","Biomass8","Biomass9","Biomass10","Biomass11","Biomass12"
"860",1.70615405986674,0.571685470843238,0.10456210148379,0.0268918637401961,3441.02346590522,0,0,0,37883.7852395531,765850.868012656,1682645.98065051,1245802.2347554,1131182.04627805,1863494.35113739,3388255.08923536,2262498.88373162,2107911.98755764,1936986.01394024,2508301.49174157,3493216.50735188,2002185.1844739,2460567.71739005,87.4079638532273,68.2512862490459,94.538576359421,60.3242870665399,101.345647071507,281.328129933513,194.372661321576,142.891320891571,111.705852306603,286.216263930156,211.336604854705,189.98880963175
"862",1.88377880761592,0.568548502271806,0.0958637042796689,0.0314682023329635,3439.88484117283,0,0,0,36842.7871463054,744898.028660971,1639208.34673502,1209589.78279871,1092241.78557302,1786297.77852605,3222296.63560407,2136955.70733883,1961724.09643679,1797563.84736234,2317889.43019181,3205151.69743264,1811665.4747124,1903631.43033221,84.3530043746126,65.3426499368809,91.7469505109496,57.4542071151054,97.9254108129513,266.045968715188,163.459315276456,118.963211738964,98.4994211158401,235.55290257935,179.71048090953,162.267316533089
"863",1.93906534871542,0.456422025273325,0.101981423136806,0.0388174358118053,3442.25299913167,0,0,0,34807.8348407403,703713.02797163,1411315.43744371,1035869.06472663,925508.974309898,1499731.3605233,2644138.57617698,1716338.48625121,1544894.17656497,1419400.66857321,1846013.08898585,2596445.24125433,1497161.30805408,1426084.56066459,78.3142456976866,61.0088265880548,84.8418746268254,53.8419165051552,90.8348996279149,250.582933632069,145.195924560419,104.271700550603,92.8014308096388,203.247714976081,161.942193455558,147.040975900718
"868",2.04326557518036,0.473903083121659,0.0964019493241645,0.0355540801924436,3440.71574625793,0,0,0,34692.6192650715,701437.518402969,1429201.51195843,1048093.65383258,935321.235897202,1511953.94137197,2663411.93257713,1729139.02906729,1556417.54176694,1426462.16664322,1847020.20418096,2579249.12318625,1474309.06486264,1489225.86088572,77.4478912559846,60.0241035899633,84.2068056511137,52.7952566655029,89.9021879609976,244.583993413947,142.864818261493,103.168578216677,89.1465676642094,202.426650488885,158.399605161293,143.495728640919
"870",1.84689486683665,0.498969449156958,0.100432831498117,0.0331169157242491,3441.25434256049,0,0,0,35881.1623452078,725393.128808329,1508430.67048016,1110988.44344718,998812.297989609,1628640.36969231,2908091.91716154,1906440.6266277,1734499.92797638,1593837.30111298,2069855.01340693,2901662.24207628,1671405.63279916,1787746.74502263,83.1443417936649,64.6802836289585,90.1640199946839,57.0297251762904,96.4584836920973,265.086766132184,162.968292071978,118.219429535759,99.6687852632222,233.192511091939,179.808613906293,162.581565281684
"872",1.97245277978907,0.570884321462704,0.0982491400210037,0.0318678215595831,3442.02207253914,0,0,0,36455.4979757399,737100.169546916,1616669.16172981,1190766.72881163,1072668.46426203,1749692.73364608,3140195.12886237,2082039.725627,1915727.3279857,1752983.81698946,2255325.33556943,3106801.38709733,1745153.32182765,1797620.45790246,79.1150276610654,61.4220107631172,85.9157566854514,54.0857985449379,91.8127664166345,250.951206102927,155.225090538057,112.879330281144,93.883114064597,223.29716812903,170.808073083246,154.282216634905
"873",1.64648030760395,0.619971529998851,0.104572911879381,0.0317950320792294,3440.75977279411,0,0,0,39159.9159500694,791652.282072383,1806643.84712051,1341459.44338006,1224707.85530092,2028016.75469088,3724829.87563315,2513404.23856264,2353062.71664788,2161004.00040113,2790393.03584785,3859541.69452141,2184018.52258841,2204955.63732954,90.5691490388857,70.7203355036502,97.9569782484639,62.5069603680968,105.010741881148,291.509710440357,186.148055217393,135.386234259983,112.510857685752,267.865689733994,204.802700540634,184.976280492219
"874",1.88204819168915,0.53403522427345,0.0954314893426456,0.0337416467623886,3439.78856695228,0,0,0,36291.487584161,733731.141176229,1573416.83803299,1159823.93809556,1044646.55145665,1704745.88720761,3059679.6075222,2015314.94657325,1834491.26633599,1682641.85001181,2175986.43157135,3026242.26854331,1722570.71500273,1749948.93514611,84.7132203348719,65.5949268161842,92.1649543057079,57.6606003626343,98.3498174308153,266.903370791676,158.621990861265,114.929467958995,97.5304994203679,226.386975505524,175.239528290981,158.53000206217
"875",1.6759298234525,0.614964023529062,0.106694983346664,0.0391052857009843,3442.38433428542,0,0,0,38861.2090181333,785629.059278056,1780178.92779309,1320406.27200758,1203733.2266071,1990686.11169631,3645026.77999428,2457744.42262397,2286805.40623678,2099246.46343966,2709170.70132191,3742023.39799427,2103346.2229269,1758999.24811514,87.6998516125397,68.6087687515116,94.7273499522283,60.7143585206365,101.653902792963,283.617095197617,167.496893010798,120.231201254087,107.266687155604,234.226217986152,186.907423209069,169.741145413843
"877",1.8497534511394,0.582071786499725,0.104221218801757,0.0264919956627558,3441.94788506466,0,0,0,37239.5753598693,752913.664894011,1660279.7919074,1225704.89025572,1108702.486317,1817935.4750088,3283691.48257286,2191138.20946375,2044870.99001905,1874196.51413485,2416416.19583322,3340590.90373296,1893691.64550741,2315165.27168764,80.8127490560432,63.0822980217227,87.4241492988067,55.7446615473718,93.703261993626,259.900956776772,180.613482999356,132.903481170112,103.316530270725,266.499312880088,196.16675565592,176.276272377389
"878",1.75059552722572,0.626171097630884,0.10136380773933,0.032710666463273,3441.79569509039,0,0,0,38566.2096538304,779716.586104304,1787983.74150006,1324844.78705598,1205953.18924742,1989266.80618995,3637957.21460506,2450008.0455011,2285028.91420645,2094877.6058365,2697136.3011116,3711656.50605747,2082465.33209595,2022090.4313626,87.1298748422398,67.8383618701122,94.4295943801342,59.8473388565796,101.068811798278,278.39389398521,172.872267011635,125.50277372721,105.351016601682,247.787045612168,190.572791891161,172.256927468589
"879",1.84242505857054,0.512610095098906,0.0985723335618025,0.0358988122160636,3440.57403236112,0,0,0,36127.7719871783,730386.563358611,1537613.56675627,1133274.86346438,1020147.19558148,1665073.01674395,2982062.11787441,1959294.49825394,1779585.29324413,1634490.78363671,2119859.41634796,2963460.56020504,1697511.1692076,1664165.86732213,84.494563495927,65.6181457657977,91.7384577659827,57.7920594282407,98.0511237998054,268.219754772234,157.795648930437,113.880989001685,98.7278035885344,223.283932544902,175.069147938931,158.637218930982
