"","par1","par2","par3","par4","log.lik","rec1","rec2","rec3","rec4","rec5","rec6","rec7","rec8","rec9","rec10","rec11","rec12","rec13","rec14","rec15","rec16","rec17","rec18","rec19","rec20","Biomass1","Biomass2","Biomass3","Biomass4","Biomass5","Biomass6","Biomass7","Biomass8","Biomass9","Biomass10","Biomass11","Biomass12","Biomass13","Biomass14","Biomass15"
"7396",1.85294953756367,0.644180987015053,0.088011112312854,0.0368699385536708,5102.87139519235,0,0,0,48583.0812496651,883220.406478105,1933355.44198013,1432242.99533416,1338730.29013072,2242516.20333478,4318488.86337704,3079668.04722978,2907488.59286862,2277009.06997017,2746279.87563567,3712553.46451109,2811317.47323152,1503010.18843597,2493121.94747498,3099148.55147504,5934985.39258266,105.135107648855,72.0935003015664,106.358627906215,68.7521645994526,110.519916473407,336.46337713892,184.533449373613,168.092270479784,110.17527008064,231.258459187628,180.386356320553,164.143432512849,157.747860417984,216.697454740812,274.579904690627
"7397",1.59576674342534,0.661507468332449,0.0922329076223246,0.0303340851811172,5099.6683432286,0,0,0,51229.0468592735,931183.960672342,2071820.7470678,1544467.0623621,1457480.77206203,2468196.54921783,4828751.56449456,3476482.95073079,3335628.46841988,2618272.69872771,3165278.10756914,4292127.51612616,3273276.48425706,1754664.7946242,2919839.08153587,3656586.20150983,8428959.8588497,117.868129950255,81.1526823242939,118.890519182984,77.6032044283147,123.816201512725,381.222245755387,233.425329683679,215.235990381353,131.773818590037,300.45823688446,225.067945196243,203.729036089583,192.614662279471,283.647664200415,362.252646207916
"7399",1.47125499797785,0.689070809827522,0.0898326662801184,0.0335179598133493,5101.59681718543,0,0,0,53353.8328852137,969721.174290481,2220361.8362076,1662730.60235399,1579599.56158021,2692203.65410309,5330937.70331145,3862295.25536838,3699525.8354932,2907633.16078959,3519229.93635831,4778396.08048382,3654820.9690211,1962013.98381842,3259335.49891645,4061443.71375997,8376186.80511279,130.387414717756,89.5671060304506,131.736972361272,85.5176474285798,137.022882418245,419.204680284249,242.049105502024,221.796398315753,140.692747675097,307.328664905088,235.043024724996,213.338546799924,203.427086917362,289.038946700055,367.674055146503
"7402",1.70253729369395,0.67865757198627,0.0916501681673397,0.0382273516103639,5102.8003014757,0,0,0,50585.6566632468,919576.391344242,2066796.78278908,1537271.11638098,1446896.92190575,2442039.02579583,4757762.62991182,3428345.37609427,3265887.10689465,2561585.87574733,3093730.82506374,4188868.5008056,3184738.83271627,1705074.43952148,2822296.3914344,3489839.97083559,6324646.44933955,110.999496548148,76.381412213083,112.007255605728,73.0134872858877,116.612389873272,358.491024643578,197.87794194909,179.844984306845,119.315327851568,246.757209138539,193.91158461222,176.616465249034,170.225557751502,230.894790185425,292.130928260869
"7403",1.84420767858546,0.590171897136148,0.102647215886953,0.0364175641541906,5101.04308590708,0,0,0,47512.4807016414,863722.296790223,1784338.98705419,1318407.84196498,1227368.46351978,2052476.53205449,3907389.36856491,2774314.91470979,2641602.88371441,2067807.87672015,2494084.32705229,3372092.96159067,2549021.60409306,1366014.0183778,2287259.92608792,2893363.87731517,5892372.23419333,94.2826537486145,65.5354586538868,94.4383323349163,63.0687608991196,98.8720066933123,312.539447104126,186.363550015837,169.889413647527,110.889184110704,233.947454297757,182.020108061989,165.57656430603,158.966695217846,219.322275371441,278.047488145984
"7404",1.74386333214242,0.617806473909764,0.0949965468722542,0.036007080516006,5098.83722160181,0,0,0,48858.7127571854,888160.335049664,1895654.98039787,1405809.76754792,1315793.56421503,2210716.01983429,4258802.18890472,3036634.82902668,2882443.88607543,2258838.13784552,2727110.67471579,3691510.53540899,2799307.30443159,1500819.22546579,2507052.56327826,3156937.12423344,6379118.03106507,105.521179925989,72.8402130808895,106.235686755905,69.7755165327192,110.795079711725,343.592987029761,198.025933924692,180.648046829172,117.458234351868,248.974206199584,193.258946486934,175.747742660479,168.576751564009,233.512236785034,296.175084768508
"7410",1.62856845713472,0.660653521038703,0.0896434460335899,0.0305643814685967,5099.75108478658,0,0,0,50876.3565747479,924797.699931016,2060646.30622546,1535145.37398769,1447037.81080189,2446649.5744975,4780888.56819405,3435688.07437402,3284075.70195613,2577061.92968059,3114471.71897201,4221553.23286048,3217019.5822537,1723661.9180975,2866427.77231141,3585645.5955882,8194664.0106691,117.978916398986,81.0285891710997,119.215745395685,77.3556675734842,123.986907153085,379.130237994752,227.92616923566,210.065638950256,128.959685308357,293.076769652405,219.884632119648,199.078733306348,188.341822885971,276.60073925552,353.147960215498
"7416",1.56868110190083,0.70161519688265,0.0989122897214677,0.0330322608752769,5102.35306968801,0,0,0,52503.8386935593,954377.018665033,2172026.01640557,1620901.58092709,1534559.76945938,2608061.40917054,5122429.44109385,3726926.92522261,3622240.72524771,2844764.13273317,3439724.65431631,4664503.83283718,3562423.74531368,1908305.88752861,3156658.08702115,3904335.63331191,8017239.21534807,113.872687924259,78.8880988349755,114.342311565492,75.7504382087918,119.48728013929,374.246636631366,228.478631578722,209.552608610216,132.248136204191,290.679604315944,221.637203228238,201.091482364015,191.513960103444,273.533225876927,348.154620452596
"7419",1.66973537801886,0.611127320419622,0.0949571198623139,0.0386552778209571,5100.36229232532,0,0,0,49329.7472950653,896665.844200639,1908712.73390921,1417777.58211599,1329717.77467519,2239667.88068708,4329581.52959092,3087417.18060019,2920141.66674866,2289709.12130047,2766462.19867985,3747956.2684339,2844671.21508244,1528200.76508581,2560392.96172425,3237206.73217574,6188141.3584707,110.239618582602,76.0945162229816,110.989045148706,72.8911089785894,115.750099631408,358.922848116514,200.858244691839,182.428330839217,121.47731532762,250.092609162239,196.981712623901,179.464196976494,173.12240530734,233.913971598649,295.813482431948
"7421",1.8105451542473,0.649893405371472,0.0905698152067658,0.0270060762670159,5102.93530411329,0,0,0,49027.8035406735,891290.730671522,1955750.715169,1450061.17006298,1357539.55718127,2278593.42771351,4397752.11263393,3145047.46962949,3014740.6963056,2361937.71526974,2849551.78512426,3854559.59841765,2927281.98323659,1563519.30513595,2593791.24574702,3236989.76181219,8301832.02752018,105.306662997321,72.3894915718379,106.342159578032,69.1496127905157,110.651900070211,339.193470600422,217.469149799654,201.989958629775,118.496038276529,284.379012870685,207.933009305572,187.607055992649,175.551441247979,269.622151592582,345.88361775176
