"","par1","par2","par3","par4","log.lik","rec1","rec2","rec3","rec4","rec5","rec6","rec7","rec8","rec9","rec10","rec11","rec12","rec13","rec14","rec15","rec16","rec17","rec18","Biomass1","Biomass2","Biomass3","Biomass4","Biomass5","Biomass6","Biomass7","Biomass8","Biomass9","Biomass10","Biomass11","Biomass12","Biomass13"
"36",2.07079242849862,0.493774622237491,0.0890379595567742,0.0420459875151406,3926.21126348546,0,0,0,44319.3568218694,805713.793927686,1559242.93013079,1144681.61170371,1051581.48280762,1729946.90274021,3215156.99479242,2224280.2453548,2046330.44139087,1595928.61253539,1944851.57749338,2710369.08838362,2210302.22642178,719216.78119232,879921.419891029,93.2574994499202,64.0124148864841,94.2749714612484,61.0867233018969,98.0167011105879,298.084831038355,156.608316676772,141.490986618422,96.8319723643516,192.778997896908,154.489635569007,139.873674027925,127.253228193621
"40",1.77519634881487,0.535949391715294,0.109381376837289,0.0323200477936403,3924.75584259388,0,0,0,46822.9070933657,851102.755036239,1680564.89037618,1240853.45418731,1152675.24014612,1923331.7632259,3636200.26950233,2566691.49640684,2447784.08386779,1914786.44358935,2341595.38634831,3278441.94298192,2702071.28295286,884172.462040716,1358398.83062222,93.5823366407539,65.4294779823392,93.3311388305637,63.2093687618353,98.0343483719625,313.669811009129,203.759400452998,187.114316118731,117.183077333578,260.013812776404,197.394040482829,177.496250274537,158.099787367264
"45",2.12425328461656,0.470009616646751,0.0900801875046717,0.0346001586364798,3926.35318030245,0,0,0,43647.1653020451,793500.652288532,1504153.66658912,1102256.99746116,1009294.77085753,1654982.90620203,3054202.45130182,2101839.84837015,1939680.22373391,1511584.25491349,1842455.80153209,2571292.41438991,2102773.39018814,688866.52064021,1030058.07389541,90.1200961117215,61.9209625897855,91.0371996343681,59.130908957652,94.7023553235699,288.812786078025,165.260646372149,151.115105384217,96.9211973554647,208.923843769991,160.86827247602,144.918130699331,129.821772414415
"46",1.90226097432042,0.546216417965135,0.106894314272345,0.043844842974104,3926.1896187577,0,0,0,46228.732311814,840384.968367254,1669998.3267834,1230396.46563962,1139553.23702933,1893855.24687383,3563394.69603074,2512725.01672088,2369363.50328581,1851681.20962973,2257953.13451187,3144434.40880954,2564995.69989132,828560.419935809,940553.425321711,88.7761746111034,61.9372684708031,88.67841769178,59.752108051141,93.0353080046418,295.953534681261,167.80186959649,151.219318845291,104.873004804355,205.388130495292,165.990908170158,150.442403107001,137.298591671992
"48",1.94221500813417,0.475434237466534,0.107915176126713,0.0327859739651885,3925.05146350382,0,0,0,44580.1429602598,810388.4895448,1524598.94966309,1119691.14023405,1030069.97903641,1701205.72621689,3157461.66632253,2193619.91179354,2062684.26133269,1609988.40000427,1968626.30834426,2760764.34018727,2275788.416293,751639.485782309,1191072.19490072,86.3611798647594,60.3052543267827,86.2097460433049,58.2112331152579,90.4901141917097,288.546812255309,185.053997258331,169.784725534508,106.868679302996,235.681320941488,179.454671994635,161.427896839766,143.961899268309
"49",1.62979099998133,0.587451667531331,0.100963753423127,0.0455865659904321,3926.98655552531,0,0,0,49125.2817532214,892888.177352864,1856775.76956588,1378897.61911777,1292557.72418532,2174959.18560291,4188556.97600873,2986393.06939636,2816384.45878616,2207122.77298215,2699216.52317871,3771088.87074984,3094714.32898465,1000612.31957336,1075026.14835035,107.974378222052,74.9401807568278,108.272349189361,72.0479321693612,113.260655599633,355.188139947315,193.060410327762,173.57434739518,121.845171595013,235.065661138136,191.463091073646,173.69287681683,158.971598396386
"50",1.94952985093743,0.476466869709232,0.0992832380411664,0.0457621730601029,3925.10260930685,0,0,0,44564.0782702357,810101.069854173,1536625.30213423,1129034.45576514,1038793.53139939,1714555.21692748,3188320.66408434,2209604.02804768,2041951.23960026,1593701.11132766,1947950.08635858,2728474.63567578,2239527.08513229,735900.890025507,852095.039056243,91.3768323515849,63.3247999076679,91.7310328521794,60.8197346405527,95.876483134554,299.422866557542,161.171230576008,144.870444112316,101.816294250503,196.136688760137,159.877587375168,145.05233572461,132.795530554839
"51",1.62951931381632,0.59588957721058,0.0918604391405783,0.0319053386512693,3926.58203385026,0,0,0,49328.1341523583,896585.441518384,1895386.2801644,1409052.93191882,1322109.90416564,2224465.54747953,4301324.13741637,3061417.65060523,2900569.09123563,2273332.98174413,2779539.14582111,3883483.35444579,3197891.11222908,1036075.1994351,1539693.60103695,115.775290321462,79.6836445469144,116.809474486858,76.1803408851552,121.625370847989,372.677885002972,223.26526377221,205.192701900999,127.917868750306,285.409487254875,216.092482830907,194.241509722864,172.82487396651
"54",1.95813184178357,0.544436811112303,0.101791991597507,0.0326777692232998,3924.54077481711,0,0,0,45868.2617583405,833855.382172719,1660877.95465936,1222745.6487348,1130721.19294898,1874862.23720324,3521263.73003348,2475564.80287657,2344585.00331594,1831464.15552308,2231617.05424578,3105811.3134888,2536817.13239029,820658.116286144,1223291.55491274,89.3373853118388,62.0509118658989,89.5350929471549,59.6853556459006,93.6987938156064,294.438993714014,183.819366065206,168.68687063362,106.054067100541,234.215042241673,178.215740541433,160.299062048072,142.915236617004
"55",2.01904614929057,0.534543708772464,0.0967745525703885,0.0425771165714368,3925.56055016532,0,0,0,45345.6389892652,824372.210013241,1635581.93794172,1202833.73375738,1109814.67745126,1834778.57676017,3434695.35608774,2403482.64863189,2240647.90643203,1749198.92451571,2129870.60906226,2960394.70272811,2407311.4121496,776139.763171014,907875.634614294,89.9016358451749,62.1602136612866,90.401689903517,59.6103130563968,94.3672175256488,292.855860073484,159.853971501247,144.313133719972,99.159617391999,196.439197211442,157.822911931834,142.936160647843,130.162638068584
